FIPS,Beds,HospCt
1001,85,1
1003,332,3
1005,74,1
1007,35,1
1011,61,1
1013,94,2
1015,552,3
1017,115,1
1019,60,1
1021,26,1
1025,85,2
1027,45,1
1031,131,1
1033,363,2
1035,58,1
1039,187,2
1041,65,1
1043,145,1
1045,89,1
1047,175,1
1049,134,1
1051,138,2
1053,142,2
1055,627,2
1057,61,1
1059,100,1
1061,83,1
1063,20,1
1065,39,1
1069,655,2
1071,170,1
1073,3866,9
1077,358,1
1079,98,1
1081,314,1
1083,71,1
1089,1088,3
1091,99,1
1093,120,2
1095,240,2
1097,1695,4
1099,94,1
1101,948,3
1103,402,3
1107,56,1
1109,97,1
1111,34,1
1113,70,1
1115,40,1
1117,252,1
1119,33,1
1121,285,2
1123,127,2
1125,787,2
1127,267,1
1131,30,1
1133,59,1
2020,651,3
2090,217,1
2122,154,2
2150,25,1
2170,74,1
2180,36,1
2220,27,1
2261,21,1
2280,49,2
4001,20,1
4003,184,4
4005,308,3
4007,69,2
4009,49,1
4012,25,1
4013,8136,34
4015,522,3
4017,89,1
4019,2160,7
4021,249,3
4023,56,1
4025,316,3
4027,369,1
5005,268,1
5007,170,2
5009,174,1
5027,70,1
5031,559,2
5033,103,1
5037,25,1
5041,25,1
5043,49,1
5045,146,1
5051,544,3
5055,129,1
5057,79,1
5059,100,2
5063,199,1
5067,133,1
5069,498,2
5071,80,1
5093,168,1
5103,100,1
5107,155,1
5113,65,1
5115,170,1
5119,2340,7
5121,50,1
5123,118,1
5125,167,1
5131,870,4
5139,166,1
5143,613,3
5145,506,3
5149,41,1
6001,3379,19
6005,52,1
6007,536,5
6009,48,1
6011,48,1
6013,1731,9
6015,49,1
6017,224,2
6019,2035,12
6021,47,1
6023,283,5
6025,268,2
6027,62,2
6029,1628,12
6031,142,1
6033,62,2
6035,38,1
6037,24676,103
6039,106,1
6041,458,4
6043,34,1
6045,141,3
6047,230,2
6049,113,2
6051,17,1
6053,793,4
6055,362,2
6057,176,2
6059,7413,32
6061,732,3
6063,87,3
6065,3761,21
6067,3000,10
6069,181,2
6071,3940,22
6073,6217,24
6075,4215,13
6077,1205,7
6079,456,4
6081,1781,10
6083,966,6
6085,3760,13
6087,359,3
6089,732,5
6091,39,1
6093,61,2
6095,672,5
6097,1861,9
6099,1303,7
6101,60,2
6103,76,1
6105,51,1
6107,2086,7
6109,152,3
6111,1573,11
6113,156,2
6115,173,1
8001,201,4
8003,44,1
8005,856,4
8013,450,3
8014,92,1
8017,11,1
8029,49,1
8031,1865,6
8035,184,1
8037,58,1
8041,632,4
8043,25,1
8045,49,1
8049,25,1
8059,542,2
8061,42,1
8067,94,2
8069,505,4
8075,25,1
8077,324,1
8085,69,1
8087,50,1
8089,78,1
8101,778,2
8107,98,1
8117,34,1
8123,300,1
9001,2066,6
9003,2233,6
9005,272,3
9007,215,1
9009,2980,7
9011,465,2
9013,174,2
9015,234,2
10001,236,1
10003,1578,4
10005,476,3
11001,3180,8
12001,1378,2
12003,25,1
12005,561,2
12007,25,1
12009,1466,7
12011,5721,17
12013,25,1
12015,771,3
12017,332,2
12019,336,2
12021,964,5
12023,166,2
12027,49,1
12031,3431,10
12033,1007,2
12035,99,1
12037,25,1
12039,266,1
12045,19,1
12049,25,1
12051,25,1
12053,474,3
12055,323,3
12057,3968,15
12059,20,1
12061,486,2
12063,87,2
12069,851,4
12071,2066,5
12073,1086,3
12079,25,1
12081,709,3
12083,737,3
12085,344,2
12086,8422,23
12087,148,4
12089,54,1
12091,649,4
12093,100,1
12095,3794,10
12097,955,5
12099,4440,14
12101,1192,7
12103,3235,11
12105,1793,6
12107,99,1
12109,335,1
12111,737,3
12113,355,4
12115,1396,4
12117,915,4
12119,299,1
12121,15,1
12123,48,1
12125,158,2
12127,1898,6
12131,108,2
12133,59,1
13001,49,1
13009,140,1
13013,56,1
13015,80,1
13017,75,1
13019,63,1
13021,1024,4
13031,190,2
13033,40,1
13035,25,1
13039,40,1
13045,303,2
13047,185,1
13051,1144,3
13057,79,1
13059,524,2
13063,406,2
13067,1007,3
13069,88,1
13071,99,1
13075,60,1
13077,161,2
13081,73,1
13083,13,1
13087,80,1
13089,1332,5
13091,94,1
13095,939,2
13097,102,1
13103,25,1
13105,52,1
13107,72,1
13109,49,1
13111,50,1
13113,157,1
13115,514,2
13117,187,1
13119,56,1
13121,3852,9
13127,300,1
13129,80,1
13131,60,1
13135,711,3
13137,53,1
13139,557,1
13151,215,1
13153,276,2
13155,34,1
13157,257,1
13159,17,1
13161,25,1
13163,37,1
13175,190,1
13185,380,1
13187,49,1
13189,47,1
13193,49,1
13199,104,1
13213,42,1
13215,1060,4
13217,97,1
13223,83,1
13227,48,1
13235,49,1
13245,1798,4
13247,146,1
13253,65,1
13255,160,1
13257,96,1
13261,76,1
13275,264,1
13277,191,1
13279,57,1
13285,276,1
13291,45,1
13293,115,1
13297,77,1
13299,231,1
13303,116,1
13305,88,1
13309,25,1
13313,282,1
13317,25,1
15001,504,6
15003,1483,8
15007,144,2
15009,234,3
16001,1253,6
16005,205,1
16007,21,1
16009,19,1
16011,33,2
16017,25,1
16019,332,2
16021,20,1
16023,14,1
16027,302,2
16029,25,1
16031,25,1
16035,23,1
16041,20,1
16045,16,1
16047,18,1
16049,16,1
16053,25,1
16055,326,2
16057,25,1
16065,69,1
16067,25,1
16069,145,1
16071,11,1
16077,10,1
16079,25,1
16081,13,1
16083,224,1
16085,25,2
17001,335,1
17005,150,1
17019,503,2
17029,118,1
17031,15664,48
17037,98,1
17043,1752,6
17049,146,1
17057,93,1
17063,89,1
17075,84,1
17077,159,1
17081,41,1
17083,49,1
17089,1101,5
17091,468,2
17095,209,2
17097,901,5
17099,244,3
17103,80,1
17105,42,1
17109,95,1
17111,308,2
17113,200,1
17115,188,1
17119,943,4
17121,113,1
17137,108,1
17143,1072,3
17159,90,1
17161,444,2
17163,818,4
17165,73,1
17167,907,2
17173,30,1
17177,100,1
17179,125,1
17183,127,1
17195,99,1
17197,917,3
17199,206,2
17201,857,3
18003,1402,6
18005,198,1
18011,52,1
18017,83,1
18019,278,2
18027,80,1
18029,88,1
18033,56,1
18035,379,1
18037,123,1
18039,390,2
18041,99,1
18043,225,1
18053,97,1
18057,470,5
18059,68,1
18063,287,2
18065,90,1
18067,224,2
18069,36,1
18071,93,1
18077,72,1
18081,125,1
18083,175,1
18085,72,1
18089,2106,9
18091,377,2
18095,332,2
18097,2954,7
18099,48,1
18105,297,1
18107,103,1
18109,207,2
18113,31,1
18127,301,1
18141,739,3
18149,53,1
18157,679,3
18163,935,2
18167,489,2
18173,24,1
18177,221,1
18179,79,1
18183,30,1
19013,459,3
19027,99,1
19033,586,2
19041,99,1
19045,175,1
19053,25,1
19055,25,1
19057,213,1
19059,49,1
19061,445,2
19099,68,1
19103,1383,3
19111,121,2
19113,994,2
19117,25,1
19127,125,1
19129,851,1
19139,48,1
19147,47,1
19153,1781,6
19155,514,2
19157,49,1
19163,1143,3
19169,237,2
19179,217,1
19187,200,1
19193,830,2
20009,33,1
20011,61,1
20015,126,2
20019,25,1
20023,16,1
20025,54,1
20031,78,1
20035,62,2
20037,111,1
20039,61,1
20045,152,1
20051,172,1
20055,132,1
20057,99,1
20059,44,1
20061,92,1
20063,70,1
20067,26,1
20071,50,1
20075,69,1
20079,141,2
20081,13,1
20087,74,1
20091,1229,9
20099,67,2
20103,130,2
20109,71,1
20113,62,2
20115,37,1
20121,18,1
20125,88,1
20129,120,1
20131,49,2
20135,109,2
20137,25,1
20141,25,1
20145,613,1
20147,25,1
20149,177,2
20151,85,1
20155,223,2
20161,109,2
20163,20,1
20167,46,1
20169,198,1
20171,25,1
20173,735,4
20175,101,1
20177,685,2
20183,53,1
20185,25,1
20191,61,1
20195,62,1
20201,25,1
20203,37,1
20205,15,1
20209,1156,2
21001,77,1
21009,180,1
21013,216,2
21015,161,1
21017,58,1
21019,455,1
21021,222,1
21025,55,1
21035,152,1
21037,284,1
21047,194,1
21049,54,1
21051,63,1
21053,42,1
21055,48,1
21059,447,1
21067,1866,5
21069,52,1
21071,174,1
21083,107,1
21085,75,1
21089,190,1
21093,285,1
21095,150,1
21097,61,1
21101,192,1
21107,390,1
21111,2909,8
21115,72,1
21117,631,2
21125,150,1
21127,90,1
21133,90,1
21141,75,1
21145,708,2
21151,105,1
21155,75,1
21161,100,1
21171,49,1
21173,42,1
21177,90,1
21179,40,1
21185,90,1
21193,358,1
21195,374,2
21199,295,1
21203,26,1
21205,149,1
21207,25,1
21209,75,1
21211,70,1
21213,25,1
21217,90,1
21221,25,1
21225,25,1
21227,548,2
21231,25,1
21235,273,1
21239,25,1
22001,41,2
22003,76,2
22005,73,2
22007,6,1
22009,55,2
22011,60,1
22013,21,1
22015,134,1
22017,1598,5
22019,632,4
22021,40,1
22023,49,1
22029,25,1
22033,1850,7
22035,11,1
22037,10,1
22039,250,2
22041,43,1
22045,187,2
22049,25,1
22051,1402,5
22053,60,1
22055,967,6
22057,203,3
22059,84,2
22061,91,1
22065,25,1
22067,22,1
22069,208,1
22071,1319,5
22073,632,5
22077,25,1
22079,630,2
22081,25,1
22083,56,2
22085,44,1
22089,59,1
22091,25,1
22093,20,1
22097,340,2
22099,25,1
22101,187,2
22103,728,6
22105,325,4
22109,327,3
22111,36,2
22113,95,2
22115,70,2
22117,25,1
22119,196,2
22123,21,1
22125,22,1
22127,60,1
23001,483,2
23003,203,3
23005,959,3
23007,65,1
23009,64,1
23011,333,2
23013,109,1
23015,32,1
