,FIPS,2wk Prior Intra-Mobility,2wk Onset Intra-Mobility,2wk Prior Inter-Mobility,2wk Onset Inter-Mobility,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Jan Temp AVG / F,Feb Temp AVG / F,Mar Temp AVG / F,Apr Temp AVG / F,May Temp AVG / F,Jun Temp AVG / F,Jul Temp AVG / F,Aug Temp AVG / F,Sep Temp AVG / F,Oct Temp AVG / F,Nov Temp AVG / F,Dec Temp AVG / F,Total_age65plus,Total households!!Average household size,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school preschool,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,POP_ESTIMATE_2018,Area in square miles - Land area,HospCt,Beds,NursingCt,Hispanic Population,Black Population,Deaths,Outbreak_date
0,1001,7461.571428571428,7314.285714285716,13927.142857142857,13194.857142857143,91.8,2.0,11.3,27.7,3.6,119.0,47.0,58.6,56.1,65.0,75.5,79.3,81.5,81.8,81.6,69.3,51.7,52.0,8653.0,,,,,,,55601,594.44,1.0,85,6.0,1649.0,10915.0,4,2020-04-27
1,1003,35004.0,32185.714285714286,47460.285714285725,42444.71428571428,114.6,3.0,9.7,31.3,3.6,115.5,52.0,62.0,59.7,66.0,76.5,81.3,82.5,82.5,82.1,72.3,56.2,56.1,44571.0,2.57,3065.0,1449.0,23254.0,11209.0,6503.0,218022,1589.78,1.0,332,9.0,10131.0,19492.0,6,2020-04-20
2,1011,682.1428571428571,690.7142857142858,1401.2857142857142,1447.571428571429,17.5,6.0,24.8,13.3,4.7,58.7,48.0,58.2,56.6,64.3,74.9,79.1,80.9,80.7,80.5,70.0,52.3,51.6,1661.0,,,,,,,10138,622.8,1.0,61,1.0,807.0,7168.0,8,2020-05-25
3,1013,2333.142857142857,2367.285714285714,4201.714285714285,4058.285714285714,27.0,6.0,15.4,16.1,4.8,74.9,48.4,59.3,57.0,64.4,75.1,79.1,81.0,81.0,81.2,70.2,52.6,53.2,3995.0,,,,,,,19680,776.83,1.0,94,5.0,297.0,8839.0,16,2020-05-08
4,1015,16956.85714285714,16182.142857142857,25290.571428571428,23753.571428571428,195.7,3.0,15.9,18.0,4.7,91.0,44.2,52.6,53.0,63.0,72.9,76.2,79.6,79.9,78.8,66.2,49.3,49.9,20247.0,2.51,1563.0,1484.0,11224.0,4972.0,6890.0,114277,605.87,1.0,552,9.0,4469.0,24153.0,3,2020-04-20
5,1017,4127.428571428572,3881.285714285714,6826.714285714284,6782.142857142857,57.4,6.0,18.6,13.2,3.9,80.0,45.6,54.6,53.6,62.3,72.7,76.4,79.4,79.6,77.9,66.6,49.7,49.8,6562.0,,,,,,,33615,596.53,1.0,115,7.0,861.0,13446.0,13,2020-03-29
6,1023,1517.857142857143,1515.571428571429,2757.285714285714,2635.0,15.2,9.0,18.6,13.0,5.5,80.0,48.0,58.7,57.1,63.4,74.8,78.9,81.2,81.8,81.0,68.3,51.7,52.7,2953.0,,,,,,,12841,913.5,0.0,0,1.0,134.0,5355.0,10,2020-05-14
7,1041,1858.142857142857,1805.7142857142856,3773.142857142857,3606.142857142857,22.8,8.0,21.6,15.6,4.1,78.3,47.7,58.4,56.6,64.1,75.1,79.1,80.6,80.4,80.9,70.2,52.3,52.6,2629.0,,,,,,,13824,608.84,1.0,65,2.0,320.0,3244.0,3,2020-05-19
8,1047,3996.857142857143,3790.285714285714,5879.142857142857,5549.285714285716,44.8,4.0,19.3,15.1,6.5,68.2,48.1,59.0,56.8,64.6,75.7,79.4,81.1,81.6,81.5,69.0,51.4,51.9,6921.0,,,,,,,38310,978.69,1.0,175,5.0,426.0,26994.0,3,2020-04-27
9,1049,10595.285714285714,10353.714285714286,17600.428571428572,16622.85714285714,91.5,6.0,25.9,12.7,3.8,79.2,41.5,49.9,49.8,60.7,70.7,73.5,77.2,76.7,76.5,63.7,47.0,47.6,12322.0,2.66,386.0,700.0,8313.0,4354.0,1654.0,71385,777.09,1.0,134,7.0,10595.0,1325.0,5,2020-05-19
10,1051,13450.857142857143,12625.428571428569,24724.142857142862,22717.571428571428,128.2,2.0,13.6,24.5,3.4,121.0,46.7,57.6,55.7,64.4,75.0,78.9,81.2,81.4,80.9,69.1,51.5,51.6,12400.0,2.57,1057.0,546.0,7403.0,5128.0,4022.0,81887,618.48,1.0,138,7.0,2467.0,17570.0,7,2020-05-04
11,1053,4396.571428571428,4221.428571428572,7664.428571428572,7088.285714285716,40.5,6.0,18.5,12.7,4.6,77.0,50.9,61.4,58.9,65.1,75.8,80.6,82.5,82.4,81.7,71.9,54.7,55.8,6596.0,,,,,,,36748,945.08,1.0,142,6.0,907.0,11639.0,3,2020-05-06
12,1055,15523.0,15803.142857142857,21177.285714285714,22099.42857142857,195.2,3.0,15.5,17.7,4.1,90.0,43.9,51.5,52.2,62.8,72.7,76.0,79.7,79.5,78.9,66.0,48.8,49.8,19487.0,2.62,1066.0,1299.0,10215.0,4628.0,4019.0,102501,534.99,1.0,627,9.0,4116.0,16094.0,8,2020-04-04
13,1059,4200.0,4149.0,7716.714285714284,7573.428571428572,50.0,6.0,23.2,12.9,3.7,79.0,41.4,50.0,49.6,60.0,71.0,74.4,78.3,77.7,77.8,62.9,46.1,47.7,5296.0,,,,,,,31363,633.82,1.0,100,5.0,5567.0,1427.0,8,2020-05-12
14,1063,520.0,530.8571428571429,1566.0,1531.142857142857,14.0,8.0,24.1,10.1,6.7,57.2,46.4,55.2,55.0,63.3,74.4,78.7,81.1,81.0,80.6,67.2,49.8,50.3,1837.0,,,,,,,8233,647.11,1.0,20,1.0,137.0,6597.0,4,2020-05-08
15,1065,1562.142857142857,1575.142857142857,3825.571428571429,3521.285714285714,24.5,3.0,16.4,14.1,5.1,69.6,46.7,55.7,55.2,63.2,74.4,78.7,80.5,80.5,80.0,67.0,49.6,50.4,2829.0,,,,,,,14726,643.94,1.0,39,2.0,200.0,8561.0,11,2020-05-21
16,1069,18076.285714285714,18043.714285714286,26297.285714285717,25582.0,175.1,3.0,14.3,21.0,4.0,96.2,51.2,61.2,59.6,66.6,77.2,81.8,82.2,82.1,82.0,72.7,55.6,55.9,18639.0,2.67,1052.0,1723.0,11212.0,5367.0,5362.0,104722,579.82,1.0,655,9.0,3601.0,28491.0,4,2020-04-16
17,1073,91370.42857142855,81804.57142857142,123425.0,116190.28571428572,592.5,1.0,10.3,32.4,3.7,110.3,44.1,53.7,53.2,63.1,73.4,77.2,80.0,80.2,79.9,65.8,48.2,49.4,104547.0,2.51,11287.0,8847.0,66358.0,32041.0,42212.0,659300,1111.28,1.0,3866,9.0,26246.0,286501.0,31,2020-04-01
18,1081,21813.14285714286,21386.571428571428,32541.857142857138,34390.57142857143,230.8,3.0,9.5,34.1,3.6,98.1,47.0,56.3,55.2,63.6,73.8,77.6,80.3,80.2,79.3,68.3,51.2,51.0,19481.0,2.66,3126.0,1152.0,16416.0,8227.0,28826.0,163941,607.54,1.0,314,9.0,6164.0,37852.0,22,2020-04-03
19,1085,706.7142857142858,689.7142857142858,2174.0,2060.285714285714,15.8,2.0,22.5,14.1,7.3,68.1,47.9,59.8,57.0,65.4,75.8,79.6,81.7,82.0,82.1,70.2,52.6,52.7,1880.0,,,,,,,9974,715.91,0.0,0,1.0,173.0,7236.0,10,2020-05-05
20,1089,46150.142857142855,48225.714285714275,58854.142857142855,61441.714285714275,417.7,2.0,8.9,41.7,3.5,127.8,41.6,50.1,50.0,61.4,71.9,75.5,79.2,78.4,78.5,63.9,46.8,48.3,55125.0,2.34,4511.0,6562.0,33764.0,19310.0,30877.0,366519,801.59,1.0,1088,9.0,18578.0,91273.0,4,2020-04-09
21,1091,2523.285714285714,2489.142857142857,4216.571428571428,4068.285714285714,21.5,7.0,16.2,15.4,5.0,75.6,48.1,58.0,56.4,63.6,74.7,78.7,80.6,80.9,80.7,67.7,50.2,51.4,3737.0,,,,,,,19066,976.88,1.0,99,5.0,492.0,9795.0,5,2020-04-22
22,1093,4876.714285714285,5008.571428571428,7469.857142857143,7800.285714285716,41.5,7.0,20.3,13.1,4.1,76.0,42.8,51.3,50.8,60.7,71.9,75.4,79.0,78.8,78.5,64.1,46.8,48.6,6321.0,,,,,,,29763,742.29,1.0,120,6.0,766.0,1154.0,6,2020-04-07
23,1095,13566.571428571431,13509.285714285714,20674.714285714286,20026.0,164.4,4.0,19.1,19.2,3.4,92.7,42.7,50.6,50.9,61.7,72.2,75.3,79.1,78.4,78.4,64.8,47.7,48.6,16375.0,2.64,849.0,1234.0,10834.0,5946.0,4040.0,96109,565.84,1.0,240,9.0,13768.0,2906.0,8,2020-04-17
24,1097,58131.285714285725,53239.857142857145,69580.57142857142,66587.28571428571,335.9,2.0,13.8,22.9,4.7,87.4,51.4,61.8,59.8,65.9,76.5,81.3,82.6,82.8,82.1,71.7,55.8,55.2,67041.0,2.57,6893.0,4922.0,43140.0,22358.0,20965.0,413757,1229.44,1.0,1695,9.0,12648.0,149329.0,39,2020-04-01
25,1101,22985.714285714286,23813.285714285717,33163.57142857143,33786.142857142855,292.5,2.0,14.4,32.1,4.0,99.5,47.7,59.2,56.8,65.0,75.7,79.7,81.5,81.6,81.6,70.0,52.4,52.5,34173.0,2.5,2222.0,3019.0,23294.0,12842.0,14710.0,225763,784.25,1.0,948,9.0,7937.0,133229.0,6,2020-04-10
26,1107,2319.0,2284.857142857143,4349.857142857143,4198.142857142857,22.4,3.0,19.4,13.5,4.6,75.4,45.4,54.2,53.9,62.8,74.2,78.4,81.2,81.3,80.6,66.7,49.2,50.0,3793.0,,,,,,,19938,881.41,1.0,56,3.0,948.0,8019.0,5,2020-05-15
27,1111,2944.0,3052.857142857143,4800.571428571428,4981.428571428572,39.5,6.0,21.2,14.9,4.0,81.3,44.5,53.4,53.0,62.0,72.1,75.1,78.6,79.1,77.4,65.4,49.1,49.1,4625.0,,,,,,,22725,580.55,1.0,34,5.0,661.0,4428.0,4,2020-04-10
28,1119,1033.5714285714287,928.5714285714287,2174.0,2116.5714285714284,15.2,8.0,15.8,21.8,5.9,55.9,46.9,56.1,55.5,63.7,74.7,78.8,81.3,81.4,81.1,67.8,50.2,50.9,2286.0,,,,,,,12691,903.89,1.0,33,2.0,146.0,9111.0,6,2020-05-01
29,1123,5439.571428571428,5573.428571428572,9149.714285714286,9301.714285714286,58.1,6.0,19.5,18.3,4.2,84.6,45.4,54.9,54.0,62.7,73.2,76.9,79.8,79.9,78.8,67.3,49.8,49.9,8731.0,,,,,,,40497,716.52,1.0,127,8.0,952.0,10994.0,18,2020-04-11
