FIPS,1 Month Prior Intra-Mobility,1 Month Prior Inter-Mobility,2wk Prior Intra-Mobility,2wk Onset Intra-Mobility,2wk Post Intra-Mobility,2wk Prior Inter-Mobility,2wk Onset Inter-Mobility,2wk Post Inter-Mobility,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Total_age65plus,Total households!!Average household size,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school preschool,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,POP_ESTIMATE_2018,Area in square miles - Land area,NursingCt,HospCt,Hispanic Population,Black Population,Outbreak Month Temp AVG / F,Time from outbreak to intervention,Time from outbreak to national intervention,Time from national intervention to outbreak,Deaths,normalized_deaths
1003.0,0.1549259118018237,0.21319735754058902,0.16359554802464246,0.1540892989829334,0.16359554802464246,0.23010652922313207,0.206183320949262,0.23010652922313207,114.6,3.0,9.7,31.3,3.6,115.5,0.2044334975369458,2.57,0.014058214308647751,0.006646118281641303,0.10665896102228216,0.0514122428011852,0.02982726513838053,218022.0,1589.78,4.128023777416958e-05,0.000697177349074864,0.04646778765445689,0.08940382163267926,66.0,-33,0,11,6,2.752015851611305e-05
1015.0,0.14460852640013827,0.21361628824197867,0.15098276243563535,0.14499418080628648,0.15098276243563535,0.22770298735278577,0.21458448706713865,0.22770298735278577,195.7,3.0,15.9,18.0,4.7,91.0,0.17717475957541762,2.51,0.013677292893583135,0.012985990181751358,0.09821748908354262,0.043508317509210075,0.06029209727241702,114277.0,605.87,7.875600514539233e-05,0.0013301014202332928,0.03910673188830648,0.2113548658085179,63.0,,0,11,3,2.625200171513078e-05
1049.0,0.13774922702848735,0.2131148000280171,0.14867269034110808,0.1467325068291658,0.14867269034110808,0.24737389807782725,0.23970922262580233,0.24737389807782725,91.5,6.0,25.9,12.7,3.8,79.2,0.17261329410940673,2.66,0.005407298452055754,0.009805981648805771,0.11645303635217483,0.0609932058555719,0.023170133781606782,71385.0,777.09,9.805981648805771e-05,0.0018771450584856764,0.14842053652728165,0.01856132240666807,70.7,,0,40,5,7.004272606289837e-05
1051.0,0.15089749114197493,0.2583926630600706,0.16424026838378375,0.15922115668107148,0.16424026838378375,0.3064013300558782,0.28967793597099784,0.3064013300558782,128.2,2.0,13.6,24.5,3.4,121.0,0.15142818762440924,2.57,0.012908031799919402,0.006667725035719956,0.0904050704018953,0.06262288275306215,0.049116465373014034,81887.0,618.48,8.5483654304102e-05,0.0016852491848522964,0.030126882166888518,0.21456397230329602,75.0,-45,0,25,7,8.5483654304102e-05
1055.0,0.1758853920588931,0.2578319096538434,0.15013581749028204,0.15280896214252931,0.15013581749028204,0.2069136607726471,0.21110386379505663,0.2069136607726471,195.2,3.0,15.5,17.7,4.1,90.0,0.1901152183881133,2.62,0.010399898537575242,0.01267304709222349,0.0996575643164457,0.04515077901679008,0.039209373567087154,102501.0,534.99,8.780402142418122e-05,0.0014829123618306163,0.040155705797992214,0.15701310231119697,62.8,,5,0,8,7.804801904371665e-05
1069.0,0.17332392975142377,0.2560829079440261,0.17185091412092396,0.1724565993773992,0.17185091412092396,0.2519821186433739,0.24770003301257518,0.2519821186433739,175.1,3.0,14.3,21.0,4.0,96.2,0.17798552357670785,2.67,0.010045644659192911,0.016453085311586867,0.10706441817383167,0.051249976127270294,0.05120223066786349,104722.0,579.82,8.594182693225875e-05,0.0014514619659670366,0.03438627986478486,0.2720631767918871,66.6,,0,7,4,3.819636752544833e-05
1073.0,0.1634304782128227,0.24077441442222203,0.13499501635934216,0.13133247383588656,0.13499501635934216,0.18327988559294556,0.1817194643669695,0.18327988559294556,592.5,1.0,10.3,32.4,3.7,110.3,0.1585727286516002,2.51,0.017119672379796756,0.013418777491278629,0.10064917336569089,0.04859851357500379,0.06402548157136356,659300.0,1111.28,1.3650841801911118e-05,0.00023054755043227666,0.03980888821477324,0.4345533141210375,63.1,-16,8,0,31,4.701956620658274e-05
1081.0,0.16015761767953107,0.27220663879949863,0.13115824769712459,0.1317538452422341,0.13115824769712459,0.19771050038036306,0.20413572130043312,0.19771050038036306,230.8,3.0,9.5,34.1,3.6,98.1,0.11882933494366876,2.66,0.01906783537980127,0.007026918220579355,0.10013358464325581,0.05018268767422426,0.1758315491548789,163941.0,607.54,5.489779859827621e-05,0.0009271628207708871,0.03759889228441939,0.23088794139355012,63.6,-18,6,0,22,0.00013419461879578628
1089.0,0.1456424204085308,0.19476035738548722,0.12647697468811794,0.1287462002554536,0.12647697468811794,0.16314687252619536,0.16410589511438317,0.16314687252619536,417.7,2.0,8.9,41.7,3.5,127.8,0.15040147986871077,2.34,0.012307683912703024,0.01790357389384998,0.09212073589636553,0.05268485399119827,0.08424392732709628,366519.0,801.59,2.455534365203441e-05,0.00041471247056769226,0.050687686040832805,0.24902665346134853,61.4,-24,0,0,4,1.0913486067570849e-05
1095.0,0.14374333903618394,0.21797691014517787,0.14131276541664778,0.14086015431883175,0.14131276541664778,0.21774458464570748,0.2117424709741762,0.21774458464570748,164.4,4.0,19.1,19.2,3.4,92.7,0.1703794649824678,2.64,0.008833720047029935,0.012839588384022308,0.11272617548824772,0.061867254887679614,0.042035605406361524,96109.0,565.84,9.364367541021132e-05,0.0015815376291502356,0.1432540136719766,0.030236502304674902,61.7,-32,0,8,8,8.323882258685451e-05
