FIPS,inter_movement,in_movement,out_movement
1001,89712.70735814709,30474.300120120486,55331.453472001245
1003,392719.83164145553,107162.84121129212,81698.4364206727
1005,44154.94876081847,15084.222227173004,17376.983618926963
1007,33676.51461176448,8100.450401968461,22674.962476567922
1009,90065.1429170868,17517.710954217913,60520.62598903014
1011,13729.083227753159,3833.2494910566234,9582.23404250021
1013,35759.542287299344,11807.28498442294,11493.33736553825
1015,233595.30852926584,69276.23768373203,51596.512413666016
1017,57581.534068880894,18820.39385901079,27578.192994092697
1019,40536.93097096176,11380.08989118134,21338.54059437126
1021,79266.46844727185,18968.32558130172,36447.73955374346
1023,20229.175985079004,5719.1768635954495,9378.050869373043
1025,44281.83650787912,15040.075043973551,12815.758157026334
1027,21090.801003155917,5310.626296787995,11696.902194121461
1029,20698.736836610453,7791.4545982908585,18556.844145153882
1031,93516.59451978789,32178.92634572533,33814.652839432434
1033,107330.83866797316,40178.12337339376,37109.6918579743
1035,16862.3364383143,9879.284891738342,10195.00258664768
1037,11495.278730484413,4865.282801707724,14731.996764088037
1039,77705.09284574607,17287.26441017774,19408.436895501705
1041,20368.582354357157,6055.903638539181,13033.105904693517
1043,166536.27205613843,42385.31508451572,42446.98594259461
1045,74231.58624957179,32375.000649561513,44099.2909841189
1047,74313.93519524026,13953.923590833061,16822.254490023282
1049,127720.73026406206,25739.1904073936,45984.54339079848
1051,139729.78312955433,59335.1391613289,72775.85573951922
1053,63988.020722190464,22042.356539020206,21727.733597877384
1055,207508.87642986208,45622.55065654334,52557.4742771162
1057,26666.243061930258,7023.94008287871,15677.828608486361
1059,56683.839419726915,15072.394106744687,23734.900824819226
1061,40955.031746985806,11417.343241170807,26938.48287929274
1063,10227.799461163671,7009.746501250083,8030.221701227686
1065,21317.341979991626,6153.076025647912,15480.892728886824
1067,23463.68164533982,8774.800557829563,19063.475853467062
1069,223435.9820051703,86863.06397799768,42706.270469408366
1071,90072.76556155036,19407.812359016047,33985.29939720574
1073,1426729.7689862808,365781.8555728285,210596.8479946574
1075,22774.492354815826,5424.104330996795,13076.437911121946
1077,195727.040182833,51650.69498412071,46776.03919585032
1079,54571.193561242784,11068.68119198158,31252.239106255758
