FIPS,2wk Prior Intra-Mobility,2wk Onset Intra-Mobility,2wk Post Intra-Mobility,2wk Prior Inter-Mobility,2wk Onset Inter-Mobility,2wk Post Inter-Mobility,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Total_age65plus,Total households!!Average household size,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school preschool,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,POP_ESTIMATE_2018,HospCt,NursingCt,Hispanic Population,Black Population,Outbreak_date,Outbreak Month Temp AVG / F,Time from outbreak to intervention,Time from outbreak to national intervention,Time from national intervention to outbreak,Deaths,normalized_deaths
1003,0.15231162779116655,0.15410731813434295,0.16359554802464235,0.35115099786784293,0.36089968640124126,0.3937020772477745,114.6,3.0,9.7,31.3,3.6,115.5,0.2044334975369458,2.57,0.014058214308647751,0.006646118281641303,0.10665896102228216,0.0514122428011852,0.02982726513838053,218022,1.3760079258056526e-05,0.00011466732715047105,0.04646778765445689,0.08940382163267926,2020-04-20,66.0,-33,0,32,6,2.752015851611305e-05
1051,0.1529843390456186,0.1602391099930392,0.16424026838378322,0.42457027018068455,0.4525818680446399,0.47064159843966163,128.2,2.0,13.6,24.5,3.4,121.0,0.15142818762440924,2.57,0.012908031799919402,0.006667725035719956,0.0904050704018953,0.06262288275306215,0.049116465373014034,81887,2.4423901229743427e-05,8.5483654304102e-05,0.030126882166888518,0.21456397230329602,2020-05-04,75.0,-45,0,46,7,8.5483654304102e-05
1073,0.12517659422331046,0.13129401313080974,0.13499501635934216,0.3019366860956426,0.31202736668761244,0.31827490195228714,592.5,1.0,10.3,32.4,3.7,110.3,0.1585727286516002,2.51,0.017119672379796756,0.013418777491278629,0.10064917336569089,0.04859851357500379,0.06402548157136356,659300,1.3650841801911118e-05,9.707265281359017e-05,0.03980888821477324,0.4345533141210375,2020-04-01,63.1,-16,0,13,31,4.701956620658274e-05
1081,0.1303430589576215,0.13243048239479882,0.1311582476971245,0.34052625204015025,0.3361331210618454,0.32886874807748784,230.8,3.0,9.5,34.1,3.6,98.1,0.11882933494366876,2.66,0.01906783537980127,0.007026918220579355,0.10013358464325581,0.05018268767422426,0.1758315491548789,163941,6.099755399808468e-06,6.099755399808468e-05,0.03759889228441939,0.23088794139355012,2020-04-03,63.6,-18,0,15,22,0.00013419461879578628
1089,0.1290108522925921,0.12762659351512864,0.1264769746881179,0.29556409665762795,0.29043358890379095,0.2896238472143132,417.7,2.0,8.9,41.7,3.5,127.8,0.15040147986871077,2.34,0.012307683912703024,0.01790357389384998,0.09212073589636553,0.05268485399119827,0.08424392732709628,366519,8.185114550678137e-06,9.549300309124493e-05,0.050687686040832805,0.24902665346134853,2020-04-09,61.4,-24,0,21,4,1.0913486067570849e-05
1095,0.14253905164225736,0.14069813589629632,0.14131276541664745,0.35270964663633403,0.35328339994916486,0.3590573500623548,164.4,4.0,19.1,19.2,3.4,92.7,0.1703794649824678,2.64,0.008833720047029935,0.012839588384022308,0.11272617548824772,0.061867254887679614,0.042035605406361524,96109,2.0809705646713628e-05,9.364367541021132e-05,0.1432540136719766,0.030236502304674902,2020-04-17,61.7,-32,0,29,8,8.323882258685451e-05
1097,0.1310047754047493,0.13402967027920804,0.1371959524897119,0.29462669427431354,0.29722259338555856,0.301450748006335,335.9,2.0,13.8,22.9,4.7,87.4,0.16202988710765015,2.57,0.016659536877925932,0.01189587124809973,0.10426409704246696,0.054036548022148266,0.05066983760999814,413757,9.667510156927859e-06,0.00010150885664774252,0.03056866711620589,0.36090990605597006,2020-04-01,65.9,-15,0,13,39,9.425822403004662e-05
1101,0.10464608587640263,0.10256552225121034,0.1016555920526013,0.2557410077951531,0.2497274322440536,0.2496562450762209,292.5,2.0,14.4,32.1,4.0,99.5,0.15136669870616531,2.5,0.009842179630851822,0.013372430380531796,0.10317899744422249,0.05688266013474307,0.06515682374879851,225763,1.3288271328782839e-05,0.00012402386573530648,0.03515633651218313,0.5901277002874696,2020-04-10,65.0,-21,0,22,6,2.6576542657565677e-05
1125,0.15680635020928255,0.1635245220623683,0.16688377894345988,0.37551773585060483,0.39035556494665874,0.4011831422403388,147.3,3.0,11.6,30.3,3.7,105.4,0.1327981772142204,2.68,0.015714825930659468,0.012344969867551254,0.09343691811345502,0.045569644489758795,0.13872893241619638,208911,9.573454724739243e-06,0.0001100947293345013,0.03884429254562948,0.32072509346085176,2020-05-05,74.2,-46,0,47,12,5.744072834843546e-05
4001,0.026265798864590253,0.026312544010057167,0.023431252809681617,0.07040912942636744,0.06980044795773444,0.06343117324347657,6.4,6.0,20.4,11.7,10.1,57.0,0.15297000751900638,3.22,0.008493692389094656,0.020440558077362222,0.1330167924475758,0.06768498148096577,0.03338995794926063,71818,1.392408588376173e-05,5.569634353504692e-05,0.06391155420646634,0.00570887521234231,2020-04-08,50.3,-24,0,20,5,6.962042941880866e-05
