,FIPS,State,Area_Name,POP_ESTIMATE_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0,0,US,United States,327167434,26948057,59265308,63365655,68867051,12.3,27.1,29.0,31.5,161640488.0,155344043.0,6296445.0,3.9,131704730.0,3796742.23,264836.79,3531905.43,87.4,37.3
1,1000,AL,Alabama,4887871,470043,1020172,987148,822595,14.2,30.9,29.9,24.9,2198837.0,2112347.0,86490.0,3.9,2171853.0,52420.07,1774.74,50645.33,94.4,42.9
69,2000,AK,Alaska,737438,34760,133851,169471,139645,7.3,28.0,35.5,29.2,356886.0,333375.0,23511.0,6.6,306967.0,665384.04,94743.1,570640.95,1.2,0.5
99,4000,AZ,Arizona,7171646,613002,1112551,1570308,1338071,13.2,24.0,33.9,28.9,3439755.0,3273550.0,166205.0,4.8,2844526.0,113990.3,396.22,113594.08,56.3,25.0
115,5000,AR,Arkansas,3013825,276029,681223,590434,451621,13.8,34.1,29.5,22.6,1351496.0,1301459.0,50037.0,3.7,1316299.0,53178.55,1143.07,52035.48,56.0,25.3
191,6000,CA,California,39557045,4475565,5391120,7633463,8718737,17.1,20.6,29.1,33.3,19398212.0,18582802.0,815410.0,4.2,13680081.0,163694.74,7915.52,155779.22,239.1,87.8
250,8000,CO,Colorado,5695564,322718,803431,1117551,1504892,8.6,21.4,29.8,40.1,3096358.0,2994752.0,101606.0,3.3,2212898.0,104093.67,451.78,103641.89,48.5,21.4
315,9000,CT,Connecticut,3572665,235826,670519,607136,965227,9.5,27.1,24.5,38.9,1905312.0,1827070.0,78242.0,4.1,1487891.0,5543.41,701.06,4842.36,738.1,307.3
324,10000,DE,Delaware,967171,67482,208557,176708,207232,10.2,31.6,26.8,31.4,482465.0,464337.0,18128.0,3.8,405885.0,2488.72,540.18,1948.54,460.8,208.3
328,11000,DC,District of Columbia,702455,45805,83572,77255,280349,9.4,17.2,15.9,57.6,404610.0,382140.0,22470.0,5.6,296719.0,68.34,7.29,61.05,9856.5,4860.4
330,12000,FL,Florida,21299325,1769489,4231678,4402103,4283457,12.0,28.8,30.0,29.2,10234770.0,9869673.0,365097.0,3.6,8989580.0,65757.7,12132.94,53624.76,350.6,167.6
398,13000,GA,Georgia,10519475,903914,1890132,1912385,2080116,13.3,27.9,28.2,30.7,5107656.0,4906411.0,201245.0,3.9,4088801.0,59425.15,1911.67,57513.49,168.4,71.1
