"week_ending","federal_provider_number","provider_name","provider_address","provider_city","provider_state","provider_zip_code","submitted_data","passed_quality_assurance","residents_weekly_admissions","residents_total_admissions","residents_weekly_confirmed","residents_total_confirmed","residents_weekly_suspected","residents_total_suspected","residents_weekly_all_deaths","residents_total_all_deaths","residents_weekly_covid_19","residents_total_covid_19","number_of_all_beds","total_number_of_occupied","resident_access_to_testing","laboratory_type_is_state","laboratory_type_is_private","laboratory_type_is_other","staff_weekly_confirmed_covid","staff_total_confirmed_covid","staff_weekly_suspected_covid","staff_total_suspected_covid","staff_weekly_covid_19_deaths","staff_total_covid_19_deaths","shortage_of_nursing_staff","shortage_of_clinical_staff","shortage_of_aides","shortage_of_other_staff","any_current_supply_of_n95","one_week_supply_of_n95_masks","any_current_supply_of_surgical","one_week_supply_of_surgical","any_current_supply_of_eye","one_week_supply_of_eye","any_current_supply_of_gowns","one_week_supply_of_gowns","any_current_supply_of_gloves","one_week_supply_of_gloves","any_current_supply_of_hand","one_week_supply_of_hand","ventilator_dependent_unit","number_of_ventilators_in","number_of_ventilators_in_1","any_current_supply_of","one_week_supply_of_ventilator","total_resident_confirmed_covid_19_cases_per_1_000_residents","total_resident_covid_19_deaths_per_1_000_residents","total_residents_covid_19_deaths_as_a_percentage_of_confirmed_covid_19_cases","geocoded_state","geolocation"
"2020-05-24T00:00:00.000","015178","GREENE COUNTY NURSING HOME","509 WILSON AVE","EUTAW","AL","35462","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-86.844516 32.756889)","POINT (-87.889307 32.844744)"
"2020-06-07T00:00:00.000","015188","JACKSON HEALTH CARE FACILITY","2616 NORTH COLLEGE AVENUE","JACKSON","AL","36545","Y","Y","0","0","0","0","0","7","0","11","0","0","91","71","Y","Y","Y","N","0","0","1","6","0","0","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N",,,,,"0.0","0.0",,"POINT (-86.844516 32.756889)",
"2020-06-21T00:00:00.000","015215","BIBB MED CENTER NURSING HOME","208 PIERSON AVE","CENTREVILLE","AL","35042","N",,"0","0","0","0","0","0","0","3","0","0","131","115",,,,,"0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0.0","0.0",,"POINT (-86.844516 32.756889)","POINT (-87.147865 32.951101)"
"2020-06-21T00:00:00.000","025039","MAPLE SPRINGS OF PALMER","12130 EAST MAPLE SPRINGS WAY","PALMER","AK","99645","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-151.631889 63.631125999999995)",
"2020-05-24T00:00:00.000","035099","SAPPHIRE OF TUCSON NURSING AND REHAB, LLC","2900 EAST MILBER STREET","TUCSON","AZ","85714","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-111.664616 34.293239)","POINT (-110.929654 32.172685)"
"2020-06-14T00:00:00.000","035147","VILLA MARIA CARE CENTER","4310 EAST GRANT ROAD","TUCSON","AZ","85712","N",,"0","0","0","0","0","0","0","0","0","0","74","38",,,,,"0","5","0","35","0","0",,,,,,,,,,,,,,,,,,,,,,"0.0","0.0",,"POINT (-111.664616 34.293239)","POINT (-110.9005 32.25061)"
"2020-05-31T00:00:00.000","035192","WEYRICH HCC OF WESTMINSTER VLG","12000 NORTH 90TH STREET","SCOTTSDALE","AZ","85260","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-111.664616 34.293239)","POINT (-111.887015 33.59604)"
"2020-05-24T00:00:00.000","045125","BUTTERFIELD TRAIL VILLAGE","1923 EAST JOYCE BLVD","FAYETTEVILLE","AR","72703","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-92.439162 34.899825)","POINT (-94.13287 36.120087)"
"2020-05-24T00:00:00.000","045459","HAPPY VALLEY NURSING & REHABILITATION","955 DIVISION STREET","MALVERN","AR","72104","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-92.439162 34.899825)","POINT (-92.814753 34.377247)"
"2020-05-24T00:00:00.000","055203","SUNNY VILLAGE CARE CENTER","1428 S. MARENGO AVE.","ALHAMBRA","CA","91803","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.662127 37.211164)","POINT (-118.14183599999998 34.075985)"
